Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.099196,0.16,-0.0,0.14,0.0,-0.02,0.01,39.5,97.65,58.95
0.113281,0.25,0.05,0.18,0.01,-0.02,0.01,40.25,97.65,60.0
0.107439,0.41,-0.25,0.24,-0.0,-0.03,0.01,38.3,98.1,59.7
0.107723,0.22,-0.01,0.11,0.0,-0.02,0.01,38.9,99.9,60.15
0.107114,0.08,0.14,0.11,0.0,-0.02,0.01,38.75,101.25,63.75
0.106767,0.39,0.1,0.18,0.0,-0.02,0.01,38.45,102.6,61.5
0.108607,0.17,0.05,0.2,0.0,-0.02,0.0,39.65,100.2,60.15
0.107974,1.42,-0.73,0.07,0.0,-0.01,0.11,38.3,100.5,61.5
0.107244,0.42,0.51,0.21,0.03,-0.03,0.02,41.15,96.0,57.6
0.10763,0.72,0.51,-0.23,0.01,-0.02,0.02,47.3,86.4,52.2
0.11118,0.91,-0.11,0.13,0.0,-0.02,-0.1,53.3,68.85,42.6
0.108095,5.16,-0.06,1.09,-0.01,-0.09,0.0,48.8,45.15,28.2
0.10725,0.94,-0.1,0.34,0.01,-0.01,0.06,31.7,20.1,15.45
0.109537,-0.66,0.09,0.3,0.01,-0.01,0.13,20.3,10.95,8.1
0.111702,-1.49,-1.63,0.18,0.01,-0.02,-0.16,11.45,7.05,4.8
0.106539,2.84,0.14,-0.98,0.0,0.0,0.03,6.2,3.6,2.25
0.109782,0.4,-0.78,0.51,0.01,-0.05,0.06,3.2,3.15,0.75
0.108586,-0.11,-0.28,0.15,0.01,-0.02,-0.02,1.7,0.9,0.75
0.107802,0.2,0.01,0.14,0.02,-0.03,0.0,2.75,1.2,-0.3
0.10806,0.18,0.03,0.13,0.01,-0.02,0.01,0.8,1.35,0.6
0.106597,0.14,0.11,0.14,0.0,-0.02,0.08,0.35,1.35,0.15
0.106745,0.11,0.02,0.13,0.01,-0.02,0.01,1.85,0.6,-0.15
0.106968,0.15,0.05,0.13,0.0,-0.01,0.0,2.75,1.95,1.5
0.106839,0.13,-0.01,0.11,0.01,-0.02,0.0,0.35,1.8,0.15
0.106456,0.15,0.04,0.07,0.01,-0.01,0.01,0.95,1.95,0.45
