Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.093306,0.12,-0.25,0.16,0.01,-0.0,-0.01,40.5,92.55,134.25
0.106601,0.04,-0.3,0.14,0.01,-0.0,-0.0,42.45,92.7,132.9
0.107262,0.1,-0.25,0.1,0.01,-0.0,0.0,41.4,91.95,132.9
0.107198,0.04,-0.3,0.11,0.01,-0.0,-0.01,43.2,92.4,135.15
0.107625,0.11,-0.23,0.18,0.01,-0.0,0.0,42.75,91.35,134.55
0.107608,0.11,-0.25,0.08,0.01,0.0,-0.0,42.75,93.0,131.7
0.107464,0.11,-0.25,0.13,0.01,0.0,0.0,42.45,91.2,134.4
0.10792,0.12,-0.25,0.13,0.0,-0.01,0.0,41.55,92.25,133.5
0.10724,0.1,-0.33,0.14,0.01,-0.01,-0.0,42.15,92.4,134.4
0.106949,0.13,-0.23,0.18,-0.0,0.0,-0.0,41.7,94.05,134.55
0.106269,0.13,-0.27,0.16,0.01,-0.01,0.0,41.4,92.4,135.9
0.107473,0.07,-0.27,0.16,0.01,-0.0,0.0,40.5,90.6,134.25
0.10848,0.09,-0.3,0.08,0.0,-0.0,0.0,40.95,92.7,135.15
0.106034,0.13,-0.3,0.13,0.01,-0.0,-0.0,41.25,92.55,134.25
0.109808,0.07,-0.25,0.15,0.01,-0.0,-0.0,42.75,92.55,133.8
0.106252,0.09,-0.29,0.16,0.0,0.0,-0.0,42.15,90.45,134.4
0.106439,0.08,-0.26,0.12,0.01,0.0,0.0,42.9,93.45,134.85
0.106797,0.09,-0.25,0.09,0.01,-0.0,-0.0,41.7,91.65,132.6
0.10679,0.0,-0.28,0.13,0.01,-0.0,-0.0,42.3,92.55,133.8
0.107539,0.13,-0.26,0.12,0.0,-0.0,-0.0,42.75,93.0,134.25
0.107271,0.14,-0.25,0.15,0.01,-0.0,-0.01,42.3,92.55,134.25
0.106929,0.11,-0.25,0.08,0.01,-0.0,-0.01,41.55,91.8,133.5
0.107814,0.11,-0.25,0.15,0.01,-0.0,-0.0,43.65,93.15,133.35
0.109663,0.16,-0.26,0.16,0.0,0.01,0.0,42.15,91.65,134.1
0.107067,0.08,-0.25,0.12,0.01,-0.0,-0.0,42.3,93.0,133.8
