Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.030068,0.05,-0.31,0.18,0.01,0.0,-0.0,9.45,112.35,148.05
0.107501,0.02,-0.22,0.12,0.0,-0.0,-0.0,10.8,112.95,147.45
0.106782,0.05,-0.27,0.16,0.01,0.0,-0.0,10.65,111.6,147.0
0.111122,0.07,-0.22,0.11,0.01,-0.0,-0.0,11.55,111.45,148.65
0.102393,0.05,-0.19,0.19,0.01,0.0,0.0,9.9,112.8,148.35
0.106909,0.06,-0.22,0.11,0.01,-0.0,-0.0,10.05,112.5,148.65
0.107856,0.07,-0.25,0.2,0.01,0.0,-0.01,9.3,112.2,147.15
0.106487,0.04,-0.17,0.17,0.0,0.01,-0.01,10.95,111.9,147.6
0.106876,3.55,0.16,0.07,0.01,0.01,-0.01,10.5,113.25,147.45
0.107,0.81,-0.1,0.21,0.03,-0.01,0.07,11.7,106.2,143.55
0.107811,1.32,-0.24,0.15,0.0,0.0,-0.04,15.9,90.0,135.9
0.106094,-0.17,-0.23,0.22,0.01,0.01,0.01,13.2,68.55,123.45
0.10663,0.52,-0.12,0.12,-0.0,-0.0,-0.01,7.05,58.35,114.75
0.107424,0.77,-0.18,0.01,0.0,-0.03,0.01,0.15,47.4,108.3
0.10705,1.17,-0.12,0.31,0.02,-0.0,0.0,-11.25,36.45,99.3
0.107056,-0.58,-0.42,0.18,0.02,-0.0,-0.02,-20.7,29.4,96.15
0.107951,-0.49,-0.61,0.12,0.01,0.01,-0.01,-27.3,26.1,92.7
0.107398,0.33,-0.44,0.06,0.02,0.0,-0.06,-30.9,23.25,90.6
0.106704,0.57,-0.24,0.07,0.01,0.0,-0.01,-34.5,21.9,90.75
0.10732,0.34,0.06,0.08,0.01,-0.0,0.01,-37.8,19.95,88.65
0.106724,0.07,-0.19,0.12,0.01,0.0,0.02,-38.4,20.85,87.0
0.106905,0.91,-0.48,0.15,0.0,-0.01,0.02,-40.2,20.55,87.75
0.107514,-0.6,-0.26,0.09,0.01,0.01,0.01,-41.4,18.15,85.8
0.10712,0.06,-0.23,0.16,0.01,0.0,0.01,-40.65,19.65,86.55
0.107184,0.05,-0.23,0.15,0.0,-0.01,0.01,-40.05,17.55,86.7
