Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,yaw_deg,pitch_deg,roll_deg,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,cumulative_displacement
0.108215,3.43,-4.67,0.82,0.37,0.1,-0.29,-2024.5,-1251.15,740.15,1.044061980698767,0.6363494167342417,-1.7921305569840535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.106783,-2.24,-3.44,-4.77,0.42,-0.1,0.05,-2347.6,-1424.55,780.95,2.392115419303512,0.015965306942638795,-1.5182497018339143,-0.009898103356448862,-0.37328360876267663,-0.01559924098499704,-0.0005284745853558395,-0.01993017179725245,-0.0008328668750504695,0.01995456590575
0.1069,0.2,8.48,-1.63,0.21,0.06,-0.1,-2393.2,-1451.4,773.0,4.89857082623196,0.4213616089641675,-2.1053943799528843,0.02361359271466306,0.522900549972544,0.06125991242227319,0.0007330929061965489,0.007997025507667406,0.0024405628883224103,0.04810123967476576
0.107755,-0.22,0.93,0.27,0.05,-0.03,-0.01,-2393.5,-1452.9,771.65,6.436026533686914,0.24242343950820663,-2.176015656508696,0.027195111045893717,0.6159877097539026,0.0717682564975957,0.002737445936859398,0.06136045221341163,0.007167225170980236,0.10171107158258993
0.106696,-0.08,0.93,0.16,-0.01,-0.01,0.01,-2394.85,-1452.75,771.8,7.589530167369603,0.17373383042316365,-2.11773484096393,0.03063239536097579,0.7079358317158946,0.08402815484425155,0.0030849818117936745,0.07062867309033073,0.008311426952264868,0.11105611824507484
0.10779,-0.22,1.1,-0.02,-0.0,-0.02,0.01,-2394.25,-1452.9,769.7,8.81367248376377,0.04231609587875416,-2.07058225877606,0.03464754567860381,0.81864093094205,0.10120454258480782,0.0035182624223281424,0.08227485462344993,0.009983116227939154,0.12282964029347804
0.108236,-0.21,1.08,0.02,0.01,-0.01,0.0,-2394.85,-1454.7,771.05,10.101441443510573,-0.018908664423249028,-2.079852367593445,0.03858574696121661,0.927258933004443,0.12056788876128367,0.003963239331081801,0.0944846088370563,0.012001880439587779,0.1352131580226306
0.107408,-2.06,-11.4,2.82,0.04,0.01,-0.01,-2397.7,-1453.65,770.45,9.137338985314678,0.05212485729770253,-2.1299451012702577,-0.006758906759561992,-0.2871710934662679,-0.07490013478209208,0.0017092286261896602,0.034375277334558155,0.0024525410596985056,0.19611801973766355
0.107156,0.69,6.33,-0.47,0.24,0.09,0.16,-2413.3,-1466.4,758.45,11.825178351988667,0.4158922604779479,-1.0643741011717185,0.006455909029645896,0.3703062266819337,0.0627796124820972,-1.623401237344467e-05,0.004454214167428944,-0.0006493933437891272,0.22624888828491843
0.108153,0.19,8.37,-1.82,0.07,-0.02,-0.01,-2416.75,-1473.15,749.75,13.473097378982702,0.30678645354611955,-1.142998835301701,0.025011589043867872,1.2441272259893372,0.27217560297777266,0.0017016521595723672,0.08730291060337798,0.018113205708815652,0.3112129557325436
0.107487,-0.1,4.31,-0.74,-0.22,-0.02,0.0,-2419.75,-1475.55,746.0,13.323545339154677,0.18569947194971392,-1.165036504177425,0.03439092497554763,1.6885525004874369,0.37744899674292065,0.0031924990122024575,0.1576124728799045,0.034913099675089085,0.383517129949063
0.108012,0.06,0.6,-0.04,-0.02,0.01,0.02,-2419.45,-1474.35,745.25,14.409328513110623,0.21508559348008166,-1.0264336892322241,0.03545737694522543,1.745034143599652,0.39196329799138396,0.00377222739353327,0.1854342803005673,0.04155288038942086,0.4121261449807445
0.108198,-0.41,5.27,-1.71,-0.7,-0.03,-0.02,-2422.3,-1478.85,741.8,11.287371287608,0.0607149642407106,-1.183669113964614,0.04699388087948778,2.297721936979537,0.5022985033972035,0.004460530597059161,0.21870906120325356,0.0483786691933212,0.44610078549712395
0.108017,-0.34,1.23,0.09,-0.18,-0.01,0.08,-2422.6,-1481.55,738.05,11.391249677411146,-0.09727136654648665,-0.7100072095253379,0.048486713473650495,2.4216033266192323,0.5272594598731877,0.005156763680121469,0.2548836784990741,0.055604881259288925,0.48299666355724563
0.107394,2.61,2.51,-0.77,0.23,0.02,0.06,-2425.0,-1481.7,735.35,14.01137503119465,-0.058016820411585915,-0.3256743565214052,0.0498732752770355,2.67688657813175,0.5909634631826488,0.005281636315945586,0.27377361241541354,0.060045216299329254,0.5024018631647389
0.107128,-0.32,-0.02,0.14,-0.03,-0.01,0.01,-2426.8,-1482.75,731.0,12.641194555052301,-0.13238569565501748,-0.27876237300828965,0.04983692274932341,2.6685241614779227,0.589087915300264,0.005340877047083889,0.2863215808564525,0.06320827203705874,0.5153424946432069
0.107406,-0.84,0.55,-0.16,0.08,0.0,0.11,-2428.6,-1483.8,725.45,14.33442337152066,-0.28925836110115516,0.3752694529681063,0.04943717354140495,2.7195130885233008,0.6021176829442202,0.005331316793100985,0.2893537644368157,0.06397131424252354,0.518469228093759
0.107135,-1.29,2.35,0.03,0.09,-0.01,-0.13,-2431.6,-1485.75,718.85,16.083738403371044,-0.13787930843847893,-0.4149533633213937,0.05098087034056905,2.955244132266493,0.6700867239751194,0.005379143565647642,0.30398255742465724,0.06814880956765172,0.5336828844219649
0.10902,1.2,0.79,0.02,-0.07,-0.01,-0.06,-2435.95,-1485.15,714.95,16.857868029690334,-0.09078226849635888,-0.7939772773992109,0.05199972446000734,3.0314019443429214,0.6931661120340494,0.005613472222579419,0.32633207763597916,0.0743109120908598,0.5568675231101625
0.106872,-0.4,3.02,-0.69,0.04,0.01,0.06,-2435.2,-1484.85,712.7,18.283967407493034,-0.1425835480931509,-0.4281121206660158,0.05399709035177814,3.331765506393581,0.79241048378675,0.005664045796282569,0.3400222158975557,0.07938327097428023,0.5714672240642799
0.10695,-0.22,1.15,0.04,0.08,-0.02,-0.0,-2437.0,-1483.35,710.9,19.95046853638466,-0.2570274653274485,-0.4710469138979717,0.054719539249797534,3.441342834416301,0.8321865375281778,0.00581362176794426,0.3621919685248085,0.08687532571481577,0.5948691724609425
0.106893,-0.05,1.07,-0.04,0.02,-0.01,0.01,-2435.8,-1484.25,709.85,21.242299921640054,-0.3336930378803751,-0.4405987257398028,0.05526553502303372,3.5419682371257717,0.8713018612197619,0.0058783172721228755,0.3732335351851734,0.09104549270368177,0.6066721666801468
0.106587,0.42,1.78,0.15,-0.22,-0.06,-0.06,-2435.35,-1483.5,709.85,21.06766455941871,-0.5398918252965951,-0.9198205031211921,0.05739094763598137,3.7130314159237106,0.9372004832334178,0.00600385825858822,0.3866443240097926,0.09638141969411552,0.6211060550781168
0.106601,0.01,0.96,0.22,0.11,-0.02,0.01,-2437.0,-1484.4,711.2,22.899076394099545,-0.6711881441341571,-0.919825081529798,0.058372485335208876,3.80140700597063,0.9745293991085648,0.006170248859080926,0.40052332510617933,0.10189615859376885,0.6360414727956359
0.106896,-0.03,0.98,-0.04,0.0,-0.02,-0.0,-2436.85,-1484.25,711.05,24.056666437424475,-0.7772926351741177,-0.9819557124793791,0.059367711426254244,3.8912055399200587,1.0146147842485802,0.006292978036506681,0.4111547553527656,0.1063157783120727,0.6475556123637253
0.10931,-0.09,1.05,-0.06,0.0,-0.01,-0.0,-2436.25,-1484.1,711.65,25.234667827319612,-0.8267140952724971,-1.0238809740737989,0.06045135814332198,3.9890914864471236,1.0607457351156842,0.0065487112473251894,0.4306976339760984,0.11342882918585388,0.6683542901364692
0.10383,-0.11,1.03,-0.03,0.01,-0.02,0.0,-2436.85,-1485.0,709.25,26.408276170400057,-0.9256934799977655,-1.0915122240991504,0.061446152196919845,4.079294134042177,1.105534395730213,0.0063283092493136555,0.4188702394877021,0.11246243299286476,0.6802231468222119
0.106949,-0.05,1.01,-0.02,0.0,-0.01,0.0,-2435.95,-1483.65,710.45,27.550150629541463,-0.9707536245942353,-1.1375568761083175,0.062438500386037626,4.169372763566373,1.1525208907103321,0.00662466985454736,0.44109333801616846,0.12074837741476493,0.7039425652968937
