Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.080639,0.03,0.44,0.23,0.0,-0.01,0.0,0.15,9.2,6.2
0.106946,0.03,0.43,0.23,0.01,-0.01,0.0,-1.8,10.85,6.5
0.106304,0.01,0.46,0.19,0.0,-0.02,0.01,-0.6,8.9,5.75
0.10734,-0.02,0.44,0.23,-0.0,-0.01,0.01,-1.2,9.05,4.85
0.106714,0.05,0.42,0.19,-0.0,-0.01,0.0,-1.05,8.9,5.75
0.10604,0.02,0.42,0.24,0.0,-0.02,0.01,-0.6,9.65,5.75
0.106445,0.05,0.45,0.19,0.01,-0.01,0.0,0.15,9.65,6.5
0.106147,0.05,0.43,0.2,0.0,-0.02,0.01,-1.2,9.8,6.05
0.106628,0.04,0.44,0.19,0.0,-0.01,0.01,-1.05,8.45,5.45
0.105851,0.06,0.46,0.22,0.0,-0.02,0.01,-0.75,9.35,6.05
0.106571,0.04,0.44,0.24,0.0,-0.01,0.0,-1.95,9.35,6.05
0.106759,-0.03,0.43,0.21,0.0,-0.02,0.01,-1.35,8.45,5.0
0.107636,0.05,0.44,0.24,0.01,-0.01,0.0,-0.45,9.05,5.6
0.107864,0.09,0.78,0.29,0.02,0.01,0.0,0.75,6.35,7.4
0.105553,-0.0,0.53,0.36,0.01,-0.04,0.0,-0.3,7.25,4.7
0.107738,-0.44,-0.07,0.29,0.02,-0.05,0.02,-53.25,136.7,97.85
0.10669,-0.33,-0.03,0.27,0.03,-0.04,0.01,-40.8,123.65,101.0
0.105684,-0.14,0.01,0.18,0.02,0.01,-0.0,-5.55,87.05,115.1
0.107213,0.2,-1.27,1.89,0.97,0.06,-0.02,-189.3,-632.35,-219.4
0.109945,-1.3,-3.2,2.93,-1.62,0.06,0.33,-1692.0,-1763.95,625.1
0.104783,-2.82,-7.47,0.02,-0.28,0.22,-0.16,-1988.1,-1914.25,900.5
0.106819,1.29,4.61,1.58,-0.05,0.0,-0.11,-2999.25,-2546.65,1128.65
0.105884,-0.02,2.56,3.48,0.12,-0.19,0.02,-3261.75,-2685.55,1162.7
0.106534,-0.34,0.17,0.02,-0.02,0.01,-0.01,-3297.3,-2702.2,1165.1
0.10634,-0.22,-0.09,0.32,0.03,-0.04,0.02,-3298.2,-2701.6,1164.95
0.107462,-0.43,-0.14,0.26,0.01,-0.03,-0.02,-3297.45,-2702.35,1166.45
0.106827,-0.28,-0.26,0.23,-0.03,0.0,-0.11,-3295.95,-2701.6,1166.45
0.107809,3.18,-3.17,0.58,0.06,0.08,0.0,-3330.45,-2723.2,1160.45
0.106457,4.33,5.05,6.98,0.01,-0.11,0.03,-3369.45,-2743.9,1146.05
0.108742,2.36,7.13,1.38,0.07,-0.0,-0.04,-3379.5,-2746.15,1139.3
0.105961,-0.07,-0.93,0.08,-0.05,0.04,-0.07,-3382.8,-2749.45,1134.05
0.105798,-2.49,-3.69,0.74,-0.07,0.06,-0.11,-3383.1,-2750.2,1130.3
0.106845,-0.83,-3.56,0.89,-0.02,-0.01,-0.11,-3387.75,-2756.65,1120.55
0.107188,0.04,3.09,0.96,0.2,-0.21,0.12,-3394.2,-2759.05,1108.7
0.106268,-0.1,-1.28,0.46,-0.17,0.06,0.11,-3394.05,-2759.2,1106.15
0.106492,-1.34,-1.24,0.14,0.04,-0.05,-0.39,-3394.8,-2759.65,1097.3
0.107619,0.63,2.97,0.71,-0.03,0.02,-0.05,-3401.55,-2757.7,1088.45
0.107012,-0.6,1.1,0.17,0.01,0.06,-0.04,-3406.05,-2755.3,1083.8
0.10593,-0.39,-0.16,0.37,-0.01,0.01,-0.01,-3405.6,-2755.3,1082.6
0.109325,-0.51,-0.17,0.31,-0.09,0.1,-0.07,-3404.1,-2756.05,1083.8
0.107104,-0.89,-0.57,0.05,-0.01,-0.01,-0.0,-3403.8,-2755.75,1082.0
0.104778,-3.54,-0.84,5.39,2.78,0.55,0.03,-3404.1,-2754.85,1091.45
0.107728,-0.25,1.17,-0.08,0.01,-0.04,0.0,-3404.85,-2756.05,1095.5
0.106387,-0.11,1.32,0.14,0.09,-0.05,-0.01,-3406.2,-2755.9,1095.65
0.107547,-0.11,1.4,0.12,0.04,-0.02,-0.0,-3404.1,-2755.3,1097.3
0.106582,-0.1,1.43,0.07,0.03,-0.02,-0.0,-3405.6,-2757.25,1097.3
0.106403,-0.05,1.51,0.12,0.02,-0.02,0.0,-3405.3,-2756.05,1099.25
0.106338,-0.13,1.46,0.09,0.02,-0.02,-0.0,-3405.45,-2755.45,1097.45
0.106253,-0.07,1.55,0.13,0.01,-0.03,0.0,-3406.2,-2755.9,1097.45
0.106961,-0.07,1.54,0.11,0.02,-0.02,-0.0,-3406.2,-2756.65,1097.45
