Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,yaw_deg,pitch_deg,roll_deg,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,cumulative_displacement
0.080481,-67.97,0.0,135.36,0.0,17.8,0.0,3503.8,-505.6,-340.0,0.0,1.2833431565383628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.103582,74.99,0.0,112.6,0.82,17.8,0.0,3503.8,-505.6,-340.0,1.137807283744524,24.264473163699375,0.23241813517747148,-1.4997477490971716,0.0,3.1613337269732082,-0.017322836375946876,0.0,0.03651498521340404,0.04041565049882216
0.104525,-105.96,0.0,-8.87,0.24,18.36,0.0,-2256.2,-505.6,-340.0,1.1599703170762143,25.266411097245303,0.25433138417416884,-1.391644934446128,-0.001669970933806192,3.229055652176703,-0.01868612802623756,-7.873912952896307e-07,0.039528053805673265,0.04372278628155873
0.104856,67.62,0.0,-8.87,0.24,18.36,0.0,-2256.2,-505.6,-340.0,1.1678975361382542,25.61129051774046,0.2621683549361436,-1.424615221928773,-0.001756888242710395,3.2413711303465362,-0.019152219082117606,-1.3545364890031224e-06,0.040598909438180855,0.04489067881929423
0.105062,-146.49,0.15,135.36,0.0,17.8,0.0,3470.2,-505.6,-301.6,1.169875932606116,25.82351802387389,0.266888234754342,-1.4128441036297503,-0.0016657835120985945,3.23370247295914,-0.01944447739265013,-1.7070716797484447e-06,0.04126584201932133,0.04561883684619711
0.105157,-146.49,0.15,135.36,0.0,17.8,0.0,6662.2,-519.7,-301.6,1.1707956342476618,25.921389229804742,0.26907014543246344,-1.419769281333597,-0.0019463407355276934,3.2513374607113192,-0.019579026528435888,-1.8786475815106895e-06,0.04157388141617067,0.045954979329960004
0.105242,-146.49,0.15,135.36,0.0,17.8,0.0,3470.2,-505.6,-301.6,1.1716225148679542,26.008957736876365,0.2710252583443918,-1.4259385226289487,-0.0021976596211649314,3.267126693824503,-0.0196999691101043,-2.0547675966701297e-06,0.04185091614273844,0.04625726293653396
0.105272,127.69,0.0,34.16,0.82,17.8,0.0,3503.8,-505.6,-340.0,1.1733358716478313,26.03924759517177,0.2717211656825975,-1.4281073796165655,-0.0022864529988488387,3.272702685223649,-0.019742779798637984,-2.1220292859703415e-06,0.04194901358342417,0.04636429502259208
0.105441,-146.49,0.15,135.36,0.0,17.8,0.0,3503.8,-505.6,-340.0,1.174995944236573,26.213352398194047,0.275623288218056,-1.4061841686009982,-0.0023006996421837417,3.2684154746627256,-0.01998227743446235,-2.509643684137568e-06,0.04250173806793453,0.04696667664879563
0.105596,-113.32,0.0,-41.85,0.82,17.8,0.0,3503.8,-505.6,-340.0,1.1838992985103727,26.37307402573481,0.27925867714528885,-1.4172870544713942,-0.002761105064240165,3.297264540969997,-0.020201096454250465,-2.9019335488854267e-06,0.043010578269146074,0.04752057218739598
0.105631,-50.8,0.0,-8.87,0.24,18.36,0.0,-2256.2,-505.6,-340.0,1.1847597652130224,26.410260981176485,0.28010890918250075,-1.421491076232945,-0.0027513313103977822,3.2977143637180344,-0.0202507750715378,-2.9984011854416107e-06,0.04312599039997814,0.04764622223421166
0.105856,-39.76,0.0,-74.93,0.82,17.8,0.0,3503.8,-505.6,-340.0,1.1977751527797877,26.642185070292424,0.2854691638116235,-1.432615731137715,-0.0027644526209611897,3.3010113015614713,-0.020571862087367002,-3.6189268777195034e-06,0.043868347037322085,0.04845504275434876
0.105967,63.95,0.0,-8.87,0.24,18.36,0.0,-2256.2,-505.6,-340.0,1.200534706664659,26.75786048238531,0.28820633064636614,-1.4402900455652103,-0.002628827077679491,3.2955578104647105,-0.020731308357974015,-3.918253900994061e-06,0.044234456623039535,0.04885436647210336
0.106028,129.4,0.0,-22.22,0.82,17.8,0.0,3503.8,-505.6,-340.0,1.2040625841631283,26.81947611840258,0.28966991307206547,-1.437050465853601,-0.002601194863397351,3.2933184964178963,-0.020819067243572277,-4.077769570196883e-06,0.04443541735039943,0.049073653638594505
0.106036,-37.8,0.0,-8.87,0.24,18.36,0.0,1823.8,-519.85,-301.6,1.204262496021956,26.82797593778641,0.28986830672068953,-1.4362068336047813,-0.002593194307110406,3.292692830151063,-0.02083056027277012,-4.098547126878935e-06,0.04446176139570573,0.04910239557441918
0.106039,-146.49,0.15,135.36,0.0,17.8,0.0,3470.2,-505.6,-301.6,1.2042936516468938,26.8310664071474,0.28993975008980166,-1.4363200360346855,-0.0025932077566340464,3.292720268477958,-0.020834869063074562,-4.106326729974523e-06,0.044471639515353635,0.04911317253977072
0.106159,77.92,0.0,-54.08,0.82,17.8,0.0,3503.8,-505.6,-340.0,1.2112690267283246,26.952390154616474,0.2928452846459941,-1.4446744748179379,-0.002958881949042199,3.3151462737995034,-0.021007728733725733,-4.439452112315123e-06,0.04486811150789031,0.04954568914936641
0.106372,-146.49,0.15,-8.87,0.24,18.36,0.0,4243.0,-519.7,-301.6,1.2166299882587088,27.178683523966278,0.298179070918993,-1.4351014266065192,-0.0026664477434433656,3.297358114986956,-0.021314424867227427,-5.0385497245648105e-06,0.04557234322529604,0.050313807101912154
0.106748,-23.09,0.0,-8.87,0.24,18.36,0.0,-2256.2,-505.6,-340.0,1.2262017148953739,27.578177407339833,0.3076900127290654,-1.4856225176117994,-0.0028021700216152336,3.3195518075127937,-0.021863520968740474,-6.0666498643958305e-06,0.04681632229072599,0.051673583370610315
0.106781,136.27,0.0,-97.01,0.82,17.8,0.0,3503.8,-505.6,-340.0,1.2281373925545123,27.61154937721657,0.3085072537138657,-1.486433416046778,-0.0028002607791917183,3.3196451751085805,-0.021912559891645846,-6.15908997260916e-06,0.04692586904093926,0.051793605514347134
0.10723,-146.49,0.15,-8.87,0.24,18.36,0.0,2975.8,-519.85,-301.6,1.2396994443607248,28.08854934654623,0.32001751555467484,-1.4524052369080582,-0.0016834367590356084,3.2526995028521584,-0.022572329169234212,-7.165680069941206e-06,0.048401360421141466,0.05340988869681366
0.107812,-131.71,0.0,135.36,0.0,17.8,0.0,3503.8,-505.6,-340.0,1.246273133438131,28.68801892824265,0.3344720049732223,-1.53004996518162,-0.0019181443108972017,3.288290024073515,-0.023440223633042306,-8.213740161291653e-06,0.050304788373476836,0.05550184468785895
0.109015,-146.49,0.15,135.36,0.0,17.8,0.0,3470.2,-505.6,-301.6,1.2607082083010897,29.927031907066382,0.36494635487374005,-1.5908751420208376,-0.005814988567137941,3.5071663493593794,-0.025317460085024578,-1.2865219587429775e-05,0.05439225538209671,0.059999780312061206
0.110347,-96.16,0.0,-8.87,0.24,18.36,0.0,-2256.2,-505.6,-340.0,1.297585883662475,31.341843767428603,0.40131840594077306,-1.67002533144013,-0.010086370546363063,3.7607380362415124,-0.02748921980034958,-2.345552475702144e-05,0.0592326797029069,0.06530509463085166
