Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.018277,0.68,-0.85,0.31,0.01,0.01,0.01,-57.0,-11.85,47.7
0.109799,0.78,-0.87,0.42,0.01,-0.01,-0.0,-57.9,-11.7,47.25
0.111557,0.75,-0.86,0.37,0.01,-0.0,0.0,-58.2,-12.0,47.55
0.106354,0.75,-0.94,0.34,0.01,-0.0,0.0,-58.65,-11.7,47.55
0.110994,0.78,-0.91,0.41,0.0,-0.0,0.01,-57.75,-12.3,47.1
0.106514,0.63,-0.85,0.31,0.0,-0.01,0.0,-57.45,-11.7,48.75
0.108882,0.62,-0.94,0.41,0.01,-0.0,0.01,-57.45,-11.25,48.3
0.109617,0.78,-0.89,0.39,0.01,0.0,-0.02,-58.05,-10.65,47.1
0.108531,0.77,-0.92,0.3,0.01,-0.0,0.0,-57.45,-13.95,48.75
0.109496,0.73,-0.86,0.31,0.01,0.0,-0.0,-59.4,-11.25,48.0
0.105071,0.73,-0.86,0.31,0.01,-0.0,0.0,-58.8,-10.65,47.7
0.108888,0.75,-0.87,0.36,0.0,0.0,0.0,-58.8,-11.85,48.9
0.109977,0.7,-0.94,0.36,0.01,0.0,-0.01,-57.3,-11.85,49.65
0.111637,0.86,-0.89,0.37,0.01,0.0,0.01,-60.0,-11.4,48.15
0.109651,0.69,-0.88,0.41,0.01,-0.0,-0.01,-57.15,-12.45,48.75
0.109082,0.73,-0.89,0.31,0.01,-0.0,0.0,-58.65,-12.45,48.3
0.10928,0.8,-0.87,0.33,0.01,-0.0,0.01,-58.65,-11.7,48.0
0.108876,0.73,-0.83,0.32,0.01,-0.0,0.0,-58.65,-11.25,46.8
0.108697,0.7,-0.86,0.39,0.01,-0.0,0.01,-57.9,-12.75,48.75
0.10947,0.67,-0.91,0.32,0.01,-0.01,-0.01,-57.15,-11.25,48.3
0.108889,0.69,-0.83,0.37,0.01,-0.0,-0.0,-58.05,-12.3,47.1
0.109033,0.76,-0.8,0.35,0.0,-0.0,-0.0,-57.15,-13.5,47.25
0.108231,0.71,-0.91,0.33,0.01,-0.0,0.01,-57.9,-12.0,46.8
0.108863,0.72,-0.92,0.36,0.01,0.0,-0.01,-58.5,-11.1,48.15
0.112132,0.73,-0.89,0.35,0.01,-0.0,-0.01,-57.75,-9.9,47.4
