pos_x,pos_y,pos_z
0.0,0.0,0.0
0.010574691108437345,0.0009076334743280753,-0.00034265045310897786
0.033866225018157406,0.030504411238441123,0.002081779244588472
0.060104450150923465,0.09071197569080525,0.004334097469782617
0.08701619836602738,0.1583665363963413,0.007506271037737941
0.10934638066087717,0.22267585064421705,0.01598060879665276
0.12199384214495043,0.26540672685415256,0.013422508435745464
0.09906873594078754,0.2614878127405323,0.02063806137743284
0.035603191004286563,0.1655533615652535,0.09021404381829697
-0.060081858858905476,0.03813668735582661,0.17748036115207577
-0.17935172062558388,-0.056567533230513785,0.24486796593157822
-0.29963599851803724,-0.15727076586204966,0.317700675541144
-0.4218885631474582,-0.2926815274008732,0.39203357691643137
-0.557443481237999,-0.45869969493913915,0.47388209839147555
-0.6792885324535587,-0.5300659053035729,0.46111754472275224
-0.7816507082283133,-0.489880267675051,0.347052011524696
-0.8886220222069243,-0.43753388344454225,0.23673703834699378
-0.9940285014916772,-0.37995521696891527,0.12846748246613046
-1.0965214958086378,-0.32096866716623385,0.024242387553842004
-1.195976902638336,-0.26408232119903324,-0.07467956026974627
-1.2948747387176671,-0.20811480975793714,-0.16963590118098065
-1.3908545647921968,-0.1508212238716945,-0.2583560808657681
-1.4849755346789988,-0.08830169001823013,-0.3430524848156754
-1.577659775489875,-0.019466599065126173,-0.424386481306688
-1.6693633292649477,0.05624305835710135,-0.5026081477149827
-1.758954667253013,0.13745698502175524,-0.5766474257300486
