Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.027927,0.16,-0.3,0.34,-0.0,-0.0,0.01,15.15,63.6,120.75
0.10697,0.07,-0.23,0.36,0.0,0.0,0.01,15.45,62.7,120.75
0.109694,0.11,-0.24,0.29,0.0,-0.0,-0.0,15.9,63.6,120.75
0.106062,0.11,-0.26,0.24,0.01,0.0,0.0,15.45,61.65,120.75
0.106939,0.12,-0.26,0.24,0.01,-0.0,-0.0,15.75,62.25,120.3
0.111652,0.15,-0.28,0.22,0.01,0.0,-0.0,15.15,63.15,121.5
0.110111,0.16,-0.33,0.27,0.02,0.01,-0.01,15.9,61.95,121.2
0.109254,0.23,-0.23,0.28,0.01,0.0,-0.0,14.4,62.7,120.75
0.106773,0.51,0.04,0.17,0.0,-0.0,0.0,11.25,58.35,118.05
0.107305,0.64,-0.19,0.35,-0.0,0.02,-0.01,-4.5,46.5,110.25
0.107296,0.69,-0.78,0.42,0.01,0.0,0.01,-21.9,35.1,103.2
0.106266,-0.03,0.17,-0.19,0.01,0.03,-0.0,-34.5,29.85,99.3
0.106897,-0.34,-0.49,0.46,0.02,0.0,-0.0,-40.2,29.4,95.85
0.10751,0.06,-0.19,0.38,0.03,0.0,-0.01,-45.45,27.45,94.35
0.106905,-0.38,0.32,0.17,-0.03,0.0,-0.02,-48.3,28.35,93.75
0.106116,1.24,-1.14,0.58,-0.01,-0.01,-0.0,-45.75,29.1,94.8
0.108972,-0.15,-0.25,0.46,-0.0,0.01,0.02,-47.4,27.75,92.1
0.105127,1.07,-0.44,0.32,-0.06,-0.02,0.02,-48.0,26.85,91.95
0.106542,0.71,-0.11,0.34,-0.01,-0.01,-0.0,-49.2,24.0,92.4
0.107562,-0.24,-0.45,0.17,0.05,0.0,-0.01,-49.95,24.3,91.35
0.107056,0.27,0.31,0.65,-0.03,0.0,-0.0,-49.95,22.05,90.6
0.106858,0.98,-0.45,0.65,0.03,0.0,-0.01,-49.5,20.25,90.15
0.108167,0.41,-0.31,0.34,0.03,-0.02,-0.0,-48.45,18.15,86.25
0.10759,-0.45,-0.62,0.24,-0.03,-0.02,-0.01,-50.7,15.9,83.25
0.108375,0.53,0.37,0.62,-0.02,-0.03,0.02,-52.65,13.95,82.5
