Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.107355,0.11,-0.27,0.14,0.01,-0.0,0.0,19.5,51.75,121.35
0.108528,0.14,-0.38,0.19,0.01,-0.0,0.0,19.2,53.1,119.4
0.10797,0.14,-0.36,0.18,0.01,0.0,-0.0,18.75,53.7,120.3
0.107834,0.18,-0.36,0.19,0.0,0.0,0.0,18.3,51.45,120.3
0.106435,0.11,-0.36,0.16,0.01,0.0,0.0,18.15,53.1,119.7
0.106957,0.17,-0.33,0.11,0.0,-0.0,0.01,20.25,52.2,120.3
0.107049,1.23,-0.48,0.21,-0.0,-0.02,0.01,18.15,50.4,120.0
0.106221,-0.14,-0.21,0.05,-0.0,0.0,0.01,7.95,40.5,115.65
0.107445,0.08,-0.69,0.22,-0.02,0.0,-0.0,-4.05,32.55,107.7
0.107131,0.19,-0.39,0.14,-0.01,0.0,0.0,-15.15,26.7,104.25
0.107021,-0.99,-0.55,-0.05,0.02,0.0,-0.0,-24.45,23.25,99.9
0.107099,-0.55,-0.45,0.21,0.03,0.01,-0.01,-28.95,22.05,97.2
0.106995,0.25,-0.3,0.05,0.02,0.0,-0.0,-31.2,19.35,96.9
0.107817,0.08,-0.3,0.08,0.01,0.0,-0.01,-36.75,20.7,95.25
0.106874,-0.0,-0.09,0.1,-0.01,0.0,-0.0,-38.25,19.2,93.75
0.106927,0.4,-0.42,0.2,0.02,0.01,-0.01,-42.15,18.9,91.8
0.106628,0.53,-0.27,0.03,0.01,-0.0,-0.0,-43.8,19.2,91.2
0.107129,-0.29,-0.44,-0.05,0.04,0.02,-0.01,-46.05,19.95,89.7
0.106877,0.46,-0.32,0.05,0.0,-0.0,0.0,-47.4,20.1,88.35
0.107707,-0.42,-0.43,0.03,0.01,0.0,0.01,-48.0,19.2,87.15
0.107648,-0.14,-0.43,0.22,0.01,-0.0,-0.0,-49.95,20.1,87.0
0.106694,0.78,-0.29,0.11,0.02,-0.0,-0.01,-50.25,20.25,86.7
0.107852,0.66,0.03,-0.32,-0.03,0.01,0.01,-50.7,19.35,87.3
0.107079,-0.79,-0.48,0.41,-0.03,0.0,0.02,-50.55,18.45,87.45
0.10695,-0.29,-0.34,0.18,0.0,-0.01,-0.0,-52.05,16.05,86.7
