Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.049684,0.07,-0.39,0.18,-0.0,0.0,-0.0,8.25,98.4,142.35
0.106739,0.06,-0.28,0.15,0.0,0.0,-0.0,10.65,99.6,141.0
0.107242,0.11,-0.38,0.18,0.01,0.0,-0.0,7.95,98.55,141.45
0.107895,0.1,-0.36,0.15,0.0,-0.0,0.0,10.2,99.6,141.75
0.107261,0.11,-0.38,0.14,0.01,0.0,-0.0,8.55,99.45,140.85
0.106957,0.07,-0.31,0.14,0.01,0.0,-0.0,9.45,100.5,140.7
0.10666,0.08,-0.39,0.18,0.01,-0.0,0.0,7.95,98.85,142.2
0.107026,0.52,-0.34,0.13,0.04,0.01,-0.01,9.45,99.6,141.75
0.107323,0.71,-0.23,0.17,0.03,0.0,0.0,9.9,91.65,136.65
0.107467,0.19,-0.16,0.21,-0.05,-0.0,-0.01,11.25,82.5,130.95
0.10719,0.23,-0.67,0.19,0.02,0.01,0.03,14.4,77.7,128.85
0.10652,0.41,-0.52,0.18,0.07,0.01,-0.0,12.75,73.35,124.35
0.106573,-0.51,-0.31,-0.36,0.02,0.01,0.01,9.0,61.05,115.8
0.107092,-0.11,-0.11,0.38,-0.03,0.0,-0.01,0.3,48.0,107.7
0.107132,0.01,-0.27,0.09,-0.05,0.0,-0.0,-12.9,36.6,101.85
0.106651,0.48,-0.21,0.59,-0.03,0.02,-0.01,-21.15,31.95,97.2
0.107097,-0.5,-0.35,0.14,-0.03,-0.01,-0.0,-27.45,27.45,94.65
0.107526,0.11,-0.62,0.32,-0.0,0.01,0.02,-31.5,24.9,91.95
0.114876,-0.41,-0.64,-0.05,0.02,0.01,0.0,-35.4,23.55,89.85
0.100438,-0.57,-0.29,-0.1,0.03,-0.01,-0.01,-39.15,20.1,88.05
0.106659,2.67,-0.41,0.21,0.04,0.0,0.01,-41.55,22.2,88.2
0.10907,-0.07,-0.04,-0.08,-0.01,0.0,-0.01,-44.4,19.65,87.75
0.10671,-0.8,-0.24,0.02,0.02,0.02,-0.02,-46.95,19.65,86.25
0.106657,-0.24,-0.37,0.15,-0.05,-0.02,0.05,-47.4,18.6,84.0
0.106863,0.14,-0.36,0.25,0.03,-0.01,0.0,-48.0,17.55,83.4
